#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
91        	74        	ok              	5.0630000000e-04	4.7120000000e+02	2.0181480036e+16	7.7824962941e+15	1.8541217453e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	74        	ok              	4.3170000000e-04	4.7120000000e+02	1.7207867558e+16	6.6357962673e+15	1.8541215303e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	74        	ok              	3.6820000000e-04	4.7120000000e+02	1.4676710206e+16	5.6597178263e+15	1.8541213368e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	73        	ok              	3.1390000000e-04	4.7120000000e+02	1.2512313446e+16	4.8250554744e+15	1.8541250458e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	73        	ok              	2.6770000000e-04	4.7120000000e+02	1.0670738429e+16	4.1149007662e+15	1.8541245115e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	73        	ok              	2.2830000000e-04	4.7120000000e+02	9.1002188464e+15	3.5092709934e+15	1.8541240278e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	73        	ok              	1.9470000000e-04	4.7120000000e+02	7.7608933558e+15	2.9927948419e+15	1.8541235906e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	73        	ok              	1.6600000000e-04	4.7120000000e+02	6.6168868246e+15	2.5516381292e+15	1.8541231945e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	73        	ok              	1.4160000000e-04	4.7120000000e+02	5.6442824794e+15	2.1765780668e+15	1.8541228383e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	73        	ok              	1.2070000000e-04	4.7120000000e+02	4.8111914034e+15	1.8553176036e+15	1.8541225047e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101       	73        	ok              	1.0290000000e-04	4.7120000000e+02	4.1016691487e+15	1.5817082138e+15	1.8541221967e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	73        	ok              	8.7780000000e-05	4.7120000000e+02	3.4989740905e+15	1.3492939457e+15	1.8541219215e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
103       	73        	ok              	7.4850000000e-05	4.7120000000e+02	2.9835743429e+15	1.1505428552e+15	1.8541216743e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	73        	ok              	6.3830000000e-05	4.7120000000e+02	2.5443088130e+15	9.8115097462e+14	1.8541214533e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	73        	ok              	5.4430000000e-05	4.7120000000e+02	2.1696178212e+15	8.3666062273e+14	1.8541212558e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	72        	ok              	4.6420000000e-05	4.7120000000e+02	1.8503391358e+15	7.1353639733e+14	1.8541247706e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	72        	ok              	3.9580000000e-05	4.7120000000e+02	1.5776904371e+15	6.0839660936e+14	1.8541242403e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	72        	ok              	3.3750000000e-05	4.7120000000e+02	1.3453014385e+15	5.1878184856e+14	1.8541237678e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
